2026-01-14 09:13:15,847 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:15,936 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:16,029 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:16,124 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:16,220 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:16,301 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:16,390 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:16,484 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:16,575 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:16,674 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:16,748 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:16,839 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:16,917 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:17,009 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:17,080 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:17,154 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:17,228 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:17,302 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:17,385 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:17,456 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:17,554 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:17,647 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:17,726 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:17,829 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:17,906 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:17,983 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:18,056 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:18,132 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:18,218 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:18,533 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:18,629 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:18,706 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:18,798 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:18,890 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:18,968 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:19,047 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:19,146 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:19,219 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:19,314 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:19,386 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:19,482 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:19,578 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:19,657 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:19,727 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:19,825 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:19,920 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:20,012 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:20,103 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:20,179 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:20,274 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:20,345 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:20,415 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:20,488 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:20,557 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:20,639 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:20,731 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:20,805 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:20,879 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:20,965 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:21,063 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:21,142 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:21,217 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:21,307 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:21,388 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:21,479 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:21,570 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:21,646 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:21,729 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:21,808 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:21,899 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:21,977 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:22,052 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:22,126 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:22,228 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:22,311 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:22,396 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:22,477 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:22,555 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:22,629 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:22,702 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:22,796 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:22,898 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:23,001 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:23,289 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:23,383 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:23,459 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:23,540 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:23,619 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:23,693 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:23,768 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:23,876 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:23,979 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:24,069 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:24,146 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:24,229 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:24,334 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:24,411 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:24,484 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:24,557 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:24,659 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:24,736 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:24,804 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:24,886 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:24,974 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:25,050 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:25,123 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:25,208 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:25,303 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:25,393 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:25,461 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:25,534 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:25,604 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:25,679 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:25,743 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:25,825 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:25,900 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:25,972 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:26,274 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:26,351 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:26,425 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:26,496 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:26,564 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:26,634 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:26,965 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:27,040 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:27,118 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:27,188 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:27,274 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:27,354 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:27,434 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:27,508 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:27,597 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:27,697 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:27,771 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:27,866 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:27,957 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:28,031 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:28,130 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:28,204 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:28,289 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:28,374 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:28,478 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:28,566 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:28,673 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:28,774 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:28,869 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:28,949 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:29,038 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:29,137 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:29,220 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:29,317 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:29,395 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:29,473 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:29,546 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:29,620 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:29,695 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:29,788 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:29,883 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:29,969 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:30,050 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:30,126 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:30,205 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:30,299 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:30,370 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:30,439 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:30,509 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:30,599 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:30,703 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:30,799 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:30,874 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:30,940 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:31,025 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:31,098 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:31,186 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:31,258 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:31,351 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:31,429 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:31,527 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:31,623 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:31,709 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:31,787 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:31,890 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:31,963 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:32,040 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:32,142 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:32,220 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:32,304 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:32,401 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:32,489 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:32,580 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:32,667 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:32,744 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:32,833 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:32,922 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:33,030 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:33,102 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:33,178 | INFO | app | Upsert realizado com sucesso
2026-01-14 09:13:33,254 | INFO | app | Upsert realizado com sucesso
